lon,lat
-81.469687,30.712349999999965
-81.347015,30.712443999999987
-81.330627,30.299480999999975
-81.122571,29.60278499999998
-80.474848,28.484449000000005
-80.543999,28.271092000000024
-80.499773,28.077232999999996
-80.03910200000001,27.029852999999996
-79.982476,26.569246999999997
-80.09552,25.471030000000017
-80.406033,25.015693000000006
-81.047648,24.640240000000013
-81.514615,24.564757
-81.539924,24.486034000000018
-81.697199,24.432314000000016
-81.792362,24.495613000000013
-81.813522,24.417638999999998
-81.934811,24.39691900000004
-82.067171,24.523715000000017
-82.16949,24.497700000000034
-82.21545000000002,24.58375999999999
-82.3265,24.583730000000013
-82.25376,24.70764999999998
-81.89429,24.76364999999996
-81.48849,24.96634999999998
-81.17085,24.967499999999966
-81.29506,25.097930000000005
-81.3252,25.39061999999999
-81.42541,25.5516
-81.57623,25.686039999999988
-81.76672,25.70025000000002
-81.87372,25.834120000000013
-82.00546,26.284430000000054
-82.16932,26.288459999999986
-82.32065,26.39675000000002
-82.44505,26.764630000000018
-82.90265,27.481040000000014
-83.02054,27.878309999999992
-83.01698,28.246450000000006
-82.89736,28.357010000000056
-82.83914,28.57458000000001
-82.94557,28.963749999999948
-83.19827,28.995050000000003
-83.7809,29.790040000000037
-84.06492,29.940079999999995
-84.160797,29.92126600000001
-84.25923,29.768150000000006
-85.06032,29.436220000000027
-85.44822,29.53443000000001
-85.70979,29.935839999999978
-86.30638000000002,30.209399999999984
-86.71348,30.243630000000003
-87.51837,30.12552999999998
-87.51838,30.283901000000018
-87.450078,30.311099999999957
-87.504701,30.324039000000013
-87.366591,30.436648000000016
-87.450371,30.514461999999977
-87.406474,30.675146000000005
-87.634744,30.865609999999972
-87.598998,30.996298000000024
