storm_id,year,heading_deg,speed_kmh,speed_kt
AL041851,1851,34.66,22.557,12.18
AL011852,1852,298.98,19.248,10.393
AL031852,1852,79.17,9.996,5.397
AL051852,1852,31.73,30.546,16.494
AL051856,1856,24.93,26.604,14.365
AL081859,1859,62.43,40.723,21.989
AL021861,1861,311.49,11.212,6.054
AL071865,1865,34.1,26.876,14.512
AL071867,1867,79.01,19.698,10.636
AL091870,1870,41.9,37.412,20.201
AL031871,1871,290.57,5.291,2.857
AL041871,1871,278.17,16.0,8.639
AL061871,1871,52.58,18.331,9.898
AL031873,1873,37.12,37.271,20.125
AL051873,1873,41.8,44.792,24.186
AL061874,1874,34.15,40.388,21.808
AL051876,1876,18.27,21.479,11.598
AL021877,1877,72.22,18.484,9.98
AL041877,1877,34.68,13.538,7.31
AL051878,1878,49.44,10.28,5.551
AL111878,1878,35.66,34.322,18.532
AL041880,1880,282.9,8.378,4.524
AL091880,1880,49.2,34.295,18.518
AL021882,1882,32.88,26.502,14.31
AL061882,1882,33.11,13.287,7.174
AL021886,1886,4.12,26.757,14.448
AL031886,1886,37.6,42.215,22.794
AL041886,1886,21.72,21.962,11.858
AL041887,1887,19.03,19.61,10.588
AL031888,1888,299.08,22.91,12.37
AL071888,1888,41.1,29.532,15.946
AL031891,1891,282.59,17.153,9.262
AL041894,1894,0.0,24.092,13.009
AL051894,1894,54.0,31.679,17.105
AL011896,1896,13.84,16.036,8.659
AL041896,1896,23.54,53.472,28.873
AL011898,1898,312.78,26.318,14.211
AL021899,1899,336.53,9.701,5.238
AL031903,1903,336.62,14.545,7.854
AL041904,1904,317.9,14.996,8.097
AL021906,1906,42.24,10.019,5.41
AL081906,1906,29.56,25.594,13.82
AL111909,1909,60.86,38.553,20.817
AL051910,1910,26.19,22.742,12.28
AL021911,1911,311.04,12.728,6.873
AL011915,1915,304.45,9.857,5.322
AL041915,1915,352.41,29.169,15.75
AL141916,1916,6.15,44.738,24.156
AL041917,1917,52.25,18.194,9.824
AL021919,1919,295.36,13.053,7.048
AL061921,1921,41.39,22.255,12.017
AL051924,1924,63.62,12.59,6.798
AL101924,1924,89.98,10.011,5.406
AL011926,1926,331.25,16.93,9.141
AL071926,1926,294.19,27.482,14.839
AL011928,1928,318.39,14.878,8.034
AL041928,1928,303.33,23.779,12.839
AL021929,1929,317.82,15.01,8.104
AL051933,1933,290.59,7.931,4.282
AL111933,1933,301.63,25.622,13.835
AL031935,1935,306.33,18.795,10.149
AL071935,1935,254.71,20.739,11.198
AL051936,1936,343.96,17.357,9.372
AL021939,1939,311.12,16.975,9.166
AL051941,1941,292.15,29.798,16.09
AL131944,1944,0.0,22.239,12.008
AL011945,1945,81.71,39.463,21.308
AL091945,1945,306.45,24.994,13.496
AL061946,1946,28.01,31.506,17.012
AL041947,1947,249.75,14.191,7.663
AL091947,1947,69.63,32.143,17.356
AL081948,1948,12.68,9.119,4.924
AL091948,1948,39.7,28.997,15.657
AL021949,1949,308.19,25.301,13.662
AL051950,1950,30.21,7.724,4.171
AL111950,1950,340.19,23.651,12.77
AL091953,1953,23.34,16.154,8.722
AL121953,1953,62.84,40.938,22.105
AL071956,1956,63.97,21.346,11.526
AL051960,1960,317.78,15.02,8.11
AL051964,1964,343.3,17.416,9.404
AL061964,1964,279.53,11.403,6.157
AL111964,1964,37.61,32.809,17.715
AL031965,1965,263.91,20.269,10.945
AL011966,1966,356.78,29.699,16.036
AL091966,1966,270.15,11.805,6.374
AL141968,1968,41.21,14.803,7.993
AL131975,1975,10.19,52.748,28.482
AL091979,1979,329.37,19.411,10.481
AL131985,1985,37.09,24.839,13.412
AL131987,1987,60.95,26.963,14.559
AL041992,1992,277.21,34.142,18.435
AL051995,1995,311.04,20.365,10.996
AL171995,1995,21.71,38.937,21.024
AL051998,1998,53.49,21.944,11.849
AL071998,1998,322.86,23.943,12.928
AL131999,1999,42.1,14.996,8.097
AL032004,2004,19.68,33.749,18.223
AL062004,2004,285.87,18.278,9.87
AL112004,2004,278.18,19.983,10.79
AL042005,2005,340.97,39.219,21.177
AL122005,2005,244.88,13.027,7.034
AL252005,2005,54.25,38.344,20.704
AL092016,2016,28.8,25.419,13.725
AL112017,2017,0.0,22.239,12.008
AL142018,2018,34.65,24.635,13.302
AL092022,2022,24.08,12.185,6.58
AL172022,2022,304.18,34.032,18.376
AL102023,2023,28.42,36.824,19.883
AL042024,2024,30.05,15.431,8.332
AL092024,2024,21.77,49.204,26.568
AL142024,2024,48.95,28.388,15.328
