metric,aep_gross_M,aep_net_M,oep_gross_M,oep_net_M
AAL_M,9.151,7.709,8.471,7.04
PML_1in5_M,9.73,9.73,9.28,9.28
PML_1in10_M,29.84,29.84,27.6,27.6
PML_1in25_M,63.77,60.0,58.33,58.33
PML_1in50_M,92.55,60.0,84.8,60.0
PML_1in100_M,122.39,70.32,113.23,60.0
PML_1in250_M,158.69,90.61,146.88,60.0
PML_1in500_M,181.52,105.39,169.27,60.0
PML_1in1000_M,204.23,120.0,191.08,60.0
Reduction_1in5_pct,,0.0,,0.0
Reduction_1in10_pct,,0.0,,0.0
Reduction_1in25_pct,,5.9,,0.0
Reduction_1in50_pct,,35.2,,29.2
Reduction_1in100_pct,,42.5,,47.0
Reduction_1in250_pct,,42.9,,59.1
Reduction_1in500_pct,,41.9,,64.6
Reduction_1in1000_pct,,41.2,,68.6
